"","statename","year","mean_tot_pop_15to64","mean_jail_pop_15to64","mean_aapi_pop_15to64","mean_black_pop_15to64","mean_latinx_pop_15to64","mean_native_pop_15to64","mean_white_pop_15to64","mean_aapi_jail_pop","mean_black_jail_pop","mean_latinx_jail_pop","mean_native_jail_pop","mean_white_jail_pop","aapi_jail_prop","black_jail_prop","latinx_jail_prop","native_jail_prop","white_jail_prop"
"165","IL",2003,293623,712,13175,42998,39817,603,197031,4,411,82,1,213,0.00561797752808989,0.577247191011236,0.115168539325843,0.00140449438202247,0.299157303370786
"166","IL",2004,295274,700,13559,43243,40799,614,197059,3,399,79,1,214,0.00428571428571429,0.57,0.112857142857143,0.00142857142857143,0.305714285714286
"167","IL",2005,301056,722,14041,44176,41974,629,200236,7,402,86,1,227,0.00969529085872576,0.556786703601108,0.119113573407202,0.00138504155124654,0.314404432132964
"168","IL",2006,302887,716,14460,44473,43140,633,200181,7,393,93,1,232,0.00977653631284916,0.548882681564246,0.129888268156425,0.00139664804469274,0.324022346368715
"169","IL",2007,304508,735,14910,44666,44287,636,200010,6,389,96,2,227,0.00816326530612245,0.529251700680272,0.130612244897959,0.00272108843537415,0.308843537414966
"170","IL",2008,305772,754,15281,44861,45511,640,199480,6,427,97,2,239,0.00795755968169761,0.56631299734748,0.128647214854111,0.0026525198938992,0.316976127320955
"171","IL",2009,307102,739,15629,45072,46639,642,199120,6,401,115,2,225,0.0081190798376184,0.542625169147497,0.155615696887686,0.0027063599458728,0.30446549391069
"172","IL",2010,308228,746,15943,45291,47679,644,198672,6,410,113,2,215,0.00804289544235925,0.549597855227882,0.151474530831099,0.00268096514745308,0.288203753351206
"173","IL",2011,309018,754,16454,45434,48485,647,197999,5,410,112,2,218,0.00663129973474801,0.543766578249337,0.148541114058355,0.0026525198938992,0.289124668435013
"174","IL",2012,308262,772,16941,45448,49149,648,196075,5,413,113,3,229,0.00647668393782383,0.534974093264249,0.146373056994819,0.0038860103626943,0.296632124352332
"175","IL",2013,308141,795,17468,45479,49825,650,194720,5,407,105,4,222,0.00628930817610063,0.511949685534591,0.132075471698113,0.0050314465408805,0.279245283018868
"176","IL",2014,307047,760,17850,45368,50500,648,192680,4,394,100,3,224,0.00526315789473684,0.518421052631579,0.131578947368421,0.00394736842105263,0.294736842105263
"177","IL",2015,305600,682,18222,45163,51168,645,190403,4,337,89,4,209,0.00586510263929619,0.494134897360704,0.13049853372434,0.00586510263929619,0.306451612903226
"178","IL",2016,303581,669,18521,44830,51776,641,187814,5,332,88,4,198,0.00747384155455904,0.496263079222721,0.131539611360239,0.00597907324364723,0.295964125560538
"179","IL",2017,301416,664,18889,44478,52366,635,185048,6,337,88,4,205,0.00903614457831325,0.507530120481928,0.132530120481928,0.00602409638554217,0.308734939759036
"180","IL",2018,299099,608,19284,44181,52972,628,182035,5,298,80,1,196,0.00822368421052632,0.490131578947368,0.131578947368421,0.00164473684210526,0.322368421052632
"181","NY",1999,375883,886,10313,30644,24461,1436,309029,6,391,90,5,414,0.00677200902934537,0.441309255079007,0.101580135440181,0.00564334085778781,0.467268623024831
"182","NY",2000,664712,1649,44267,103193,103331,2412,411509,10,765,343,6,413,0.00606428138265616,0.463917525773196,0.208004851425106,0.00363856882959369,0.250454821103699
"183","NY",2001,669653,1561,45862,103624,105630,2440,412097,15,750,355,6,396,0.00960922485586163,0.480461242793081,0.227418321588725,0.00384368994234465,0.253683536194747
"184","NY",2002,673623,1584,47362,103984,107828,2450,411999,21,768,360,7,424,0.0132575757575758,0.484848484848485,0.227272727272727,0.00441919191919192,0.267676767676768
"185","NY",2003,677356,1632,48743,104316,109869,2466,411962,21,758,368,7,421,0.0128676470588235,0.464460784313726,0.225490196078431,0.00428921568627451,0.25796568627451
"186","NY",2004,679712,1602,49985,104455,111533,2469,411270,23,785,345,6,444,0.0143570536828964,0.490012484394507,0.215355805243446,0.00374531835205993,0.277153558052434
"187","NY",2005,681579,1596,51302,104514,113156,2477,410130,21,764,331,5,436,0.0131578947368421,0.478696741854637,0.207393483709273,0.0031328320802005,0.273182957393484
"188","NY",2006,683652,1651,52651,104566,114856,2477,409101,22,784,339,6,443,0.0133252574197456,0.474863718958207,0.205330102967898,0.00363416111447608,0.26832222895215
"189","NY",2007,686160,1640,54112,104541,116926,2476,408104,23,800,355,6,441,0.0140243902439024,0.48780487804878,0.216463414634146,0.00365853658536585,0.26890243902439
"190","NY",2008,689380,1630,55715,104916,119489,2489,406770,24,772,351,6,461,0.0147239263803681,0.47361963190184,0.215337423312883,0.00368098159509202,0.282822085889571
"191","NY",2009,693336,1584,57270,105502,122198,2495,405870,23,738,336,6,463,0.014520202020202,0.465909090909091,0.212121212121212,0.00378787878787879,0.29229797979798
"192","NY",2010,696914,1591,58656,106248,124802,2506,404703,22,723,338,6,471,0.0138277812696417,0.454431175361408,0.212445003142678,0.00377121307353866,0.296040226272784
"193","NY",2011,700116,1567,60080,106873,126835,2520,403808,22,714,311,6,465,0.0140395660497766,0.455647734524569,0.198468410976388,0.00382897255902999,0.296745373324824
"194","NY",2012,699695,1549,61300,107142,128567,2527,400159,21,691,293,7,470,0.013557133634603,0.44609425435765,0.189154293092318,0.00451904454486766,0.303421562298257
"195","NY",2013,699082,1501,62215,107496,129998,2537,396836,22,643,273,7,483,0.0146568954030646,0.42838107928048,0.181878747501666,0.00466355762824783,0.321785476349101
"196","NY",2014,697437,1476,63304,107521,131093,2539,392980,21,662,276,7,461,0.0142276422764228,0.448509485094851,0.186991869918699,0.00474254742547425,0.312330623306233
"197","NY",2015,694917,1367,64308,107374,131971,2540,388724,20,606,246,6,436,0.0146305779078274,0.443306510607169,0.179956108266277,0.00438917337234821,0.318946598390636
"198","NY",2016,691265,1371,65279,107052,132604,2534,383795,21,611,231,6,420,0.0153172866520788,0.445660102115244,0.168490153172867,0.00437636761487965,0.306345733041575
"199","NY",2017,686349,1359,65845,106462,132740,2526,378775,22,620,251,6,425,0.0161883738042678,0.456217807211185,0.184694628403238,0.00441501103752759,0.312729948491538
"200","NY",2018,681634,1276,66386,105813,133053,2514,373869,17,552,224,9,437,0.0133228840125392,0.432601880877743,0.175548589341693,0.00705329153605016,0.342476489028213
